ori,ncic_agency_name,agency_name_edit,agency_type_name,state_abbr,data_year,population,male_officer_ct,male_civilian_ct,male_total_ct,female_officer_ct,female_civilian_ct,female_total_ct,officer_ct,civilian_ct,total_pe_ct,pe_ct_per_1000
ND0330000,OLIVER CO SO CENTER,OLIVER CO SO CENTER,County,ND,2022,1900,4,0,4,0,1,1,4,1,5,2.63
AL0050000,BALDWIN CO SO BAY MINETTE,BALDWIN CO SO BAY MINETTE,County,AL,2022,109188,145,70,215,7,130,137,152,200,352,3.22
MA0145800,WESTMINSTER PD,WESTMINSTER PD,City,MA,2022,8363,13,2,15,3,2,5,16,4,20,2.39
OH0330200,KENTON,KENTON,City,OH,2022,7938,16,0,16,1,0,1,17,0,17,2.14
SC0270000,JASPER CO SO RIDGELAND,JASPER CO SO RIDGELAND,County,SC,2022,18138,37,1,38,7,9,16,44,10,54,2.98
AL0470500,OWENS CROSS ROADS RD,OWENS CROSS ROADS RD,City,AL,2022,2648,5,0,5,0,0,0,5,0,5,1.89
GA0960100,MONTEZUMA PD,MONTEZUMA PD,City,GA,2022,3056,9,0,9,2,2,4,11,2,13,4.25
KS0280100,GARDEN CITY PD,GARDEN CITY PD,City,KS,2022,27701,50,6,56,11,21,32,61,27,88,3.18
MA0095200,WILMINGTON PD,WILMINGTON PD,City,MA,2022,22825,42,0,42,4,4,8,46,4,50,2.19
MD0220500,SMITHSBURG PD,SMITHSBURG PD,City,MD,2022,3153,3,0,3,1,1,2,4,1,5,1.59
MS0460100,COLUMBIA PD,COLUMBIA PD,City,MS,2022,5879,18,1,19,5,7,12,23,8,31,5.27
NJ0090000,HUDSON CO SHERIFFS OFF JERSEY CITY,HUDSON CO SHERIFFS OFF JERSEY CITY,County,NJ,2022,0,211,67,278,52,70,122,263,137,400,
VA0520000,LEE CO SO JONESVILLE,LEE CO SO JONESVILLE,County,VA,2022,19501,29,0,29,1,11,12,30,11,41,2.10
ND0230000,LA MOURE CO SO LA MOURE,LA MOURE CO SO LA MOURE,County,ND,2022,3332,3,0,3,1,1,2,4,1,5,1.50
KS0160000,COFFEY CO SO BURLINGTON,COFFEY CO SO BURLINGTON,County,KS,2022,3788,14,9,23,2,18,20,16,27,43,11.35
WV0130700,RUPERT PD,RUPERT PD,City,WV,2022,856,1,0,1,0,0,0,1,0,1,1.17
MN0560100,FERGUS FALLS PD,FERGUS FALLS PD,City,MN,2022,14017,23,0,23,1,5,6,24,5,29,2.07
CO0030400,GLENDALE,GLENDALE,City,CO,2022,4502,23,4,27,4,13,17,27,17,44,9.77
VA1170400,NORFOLK STATE UNIV POLICE DEPT NORFOLK,NORFOLK STATE UNIV POLICE DEPT NORFOLK,University or College,VA,2022,0,17,7,24,4,15,19,21,22,43,
VT0110100,BRANDON PD,BRANDON PD,City,VT,2022,4112,5,0,5,0,1,1,5,1,6,1.46
SD0260300,BURKE PD,BURKE PD,City,SD,2022,575,1,0,1,0,0,0,1,0,1,1.74
NC0620300,CANDOR PD,CANDOR PD,City,NC,2022,813,3,0,3,0,0,0,3,0,3,3.69
IL0165000,HOFFMAN ESTATES PD,HOFFMAN ESTATES PD,City,IL,2022,50385,70,8,78,13,10,23,83,18,101,2.00
NH0086800,SEABROOK PD,SEABROOK PD,City,NH,2022,8441,26,3,29,2,3,5,28,6,34,4.03
MI4183400,WYOMING POLICE DEPARTMENT,WYOMING POLICE DEPARTMENT,City,MI,2022,76726,82,5,87,11,14,25,93,19,112,1.46
MI1172600,ST. JOSEPH,ST. JOSEPH,City,MI,2022,7684,23,0,23,1,2,3,24,2,26,3.38
ID0300000,LEMHI CO SO SALMON,LEMHI CO SO SALMON,County,ID,2022,5036,8,8,16,0,8,8,8,16,24,4.77
AR0340300,DIAZ PD,DIAZ PD,City,AR,2022,1266,3,0,3,0,0,0,3,0,3,2.37
CA0230300,UKIAH PD,UKIAH PD,City,CA,2022,16764,26,4,30,1,13,14,27,17,44,2.62
NC0500000,JACKSON CO SO SYLVA,JACKSON CO SO SYLVA,County,NC,2022,41258,57,0,57,5,4,9,62,4,66,1.60
ND0240000,LOGAN CO SO NAPOLEON,LOGAN CO SO NAPOLEON,County,ND,2022,1149,3,0,3,0,0,0,3,0,3,2.61
OR0060600,NORTH BEND,NORTH BEND,City,OR,2022,10256,17,1,18,0,2,2,17,3,20,1.95
IL0900000,TAZEWELL CO SO PEKIN,TAZEWELL CO SO PEKIN,County,IL,2022,24373,37,6,43,1,13,14,38,19,57,2.34
SC0070500,,,University or College,SC,2022,0,12,6,18,1,3,4,13,9,22,
SC023NR00,DNR: GREENVILLE COUNTY,DNR: GREENVILLE COUNTY,Other State Agency,SC,2022,0,5,1,6,0,0,0,5,1,6,
OH0781400,LORDSTOWN,LORDSTOWN,City,OH,2022,3341,9,3,12,1,2,3,10,5,15,4.49
AL0600500,UNIVERSITY OF WEST ALABAMA CAMPUS POLICE,UNIVERSITY OF WEST ALABAMA CAMPUS POLICE,University or College,AL,2022,0,7,2,9,1,4,5,8,6,14,
PA0403800,WHITE HAVEN PD,WHITE HAVEN PD,City,PA,2022,1168,2,0,2,0,0,0,2,0,2,1.71
OK0020100,CHEROKEE,CHEROKEE,City,OK,2022,1507,3,0,3,0,0,0,3,0,3,1.99
CO0080200,SALIDA,SALIDA,City,CO,2022,5912,16,1,17,3,3,6,19,4,23,3.89
AL0560100,ROANOKE PD,ROANOKE PD,City,AL,2022,5266,23,2,25,0,3,3,23,5,28,5.32
OR0241000,TURNER,TURNER,City,OR,2022,2448,3,0,3,0,0,0,3,0,3,1.23
CA0196300,SAN MARINO PD,SAN MARINO PD,City,CA,2022,12015,21,0,21,7,7,14,28,7,35,2.91
IL0160500,BARTLETT PD,BARTLETT PD,City,IL,2022,40020,44,9,53,14,7,21,58,16,74,1.85
PA0480800,NORTHAMPTON PD,NORTHAMPTON PD,City,PA,2022,10337,15,0,15,0,2,2,15,2,17,1.64
TX0700200,FERRIS PD,FERRIS PD,City,TX,2022,2893,9,3,12,1,4,5,10,7,17,5.88
OH0310700,DEER PARK,DEER PARK,City,OH,2022,5302,9,1,10,1,3,4,10,4,14,2.64
FL0470000,OKEECHOBEE CO SO OKEECHOBEE,OKEECHOBEE CO SO OKEECHOBEE,County,FL,2022,35914,79,52,131,9,58,67,88,110,198,5.51
CA0389700,UNIV OF CA MEDICAL CENTER PD SAN FRANCISCO,UNIV OF CA MEDICAL CENTER PD SAN FRANCISCO,University or College,CA,2022,0,54,4,58,4,13,17,58,17,75,
IL0491600,ROUND LAKE PD,ROUND LAKE PD,City,IL,2022,18531,25,0,25,2,2,4,27,2,29,1.56
AL0380800,WALLACE ST COMM COLL CAMPUS POLICE DEPT DOTHAN,WALLACE ST COMM COLL CAMPUS POLICE DEPT DOTHAN,University or College,AL,2022,0,3,0,3,0,0,0,3,0,3,
WI0110200,WISCONSIN DELLS PD,WISCONSIN DELLS PD,City,WI,2022,3448,16,1,17,1,4,5,17,5,22,6.38
OH0253100,CLINTON TOWNSHIP,CLINTON TOWNSHIP,City,OH,2022,4353,11,0,11,1,1,2,12,1,13,2.99
NH0054800,LISBON PD,LISBON PD,City,NH,2022,1651,3,0,3,1,0,1,4,0,4,2.42
PA0029400,VERONA PD,VERONA PD,City,PA,2022,2421,3,0,3,0,1,1,3,1,4,1.65
IA0160300,WEST BRANCH POLICE DEPARTMENT,WEST BRANCH POLICE DEPARTMENT,City,IA,2022,2608,3,0,3,1,0,1,4,0,4,1.53
TX1400500,SUDAN PD,SUDAN PD,City,TX,2022,934,1,0,1,0,0,0,1,0,1,1.07
AKAST0100,AK DPS ALASKA STATE TROOPERS,AK DPS ALASKA STATE TROOPERS,State Police,AK,2022,272743,343,93,436,22,123,145,365,216,581,2.13
NY0130200,POUGHKEEPSIE CITY PD POUGHKEEPSIE,POUGHKEEPSIE CITY PD POUGHKEEPSIE,City,NY,2022,32202,77,10,87,6,16,22,83,26,109,3.38
NJ0081800,WASHINGTON TWP PD TURNERSVILLE,WASHINGTON TWP PD TURNERSVILLE,City,NJ,2022,49625,76,1,77,4,5,9,80,6,86,1.73
NJ0120500,EDISON PD,EDISON PD,City,NJ,2022,108050,166,16,182,19,32,51,185,48,233,2.16
OR0280000,SHERMAN,SHERMAN,County,OR,2022,1938,6,0,6,0,1,1,6,1,7,3.61
NM0330300,LAGUNA TRIBAL PD LAGUNA,LAGUNA TRIBAL PD LAGUNA,Tribal,NM,2022,0,26,0,26,5,10,15,31,10,41,
WV0260000,MARSHALL CO SO MOUNDSVILLE,MARSHALL CO SO MOUNDSVILLE,County,WV,2022,16375,29,1,30,0,1,1,29,2,31,1.89
OR0340900,BANKS,BANKS,City,OR,2022,1821,2,0,2,0,0,0,2,0,2,1.10
NC0780500,FAIRMONT PD,FAIRMONT PD,City,NC,2022,2169,8,0,8,0,0,0,8,0,8,3.69
OR0090600,LIQUOR COMM: DESCHUTES C,LIQUOR COMM: DESCHUTES C,Other State Agency,OR,2022,0,7,2,9,2,1,3,9,3,12,
NY0549000,NYS PARK POLICE FINGER LAKES REGION,NYS PARK POLICE FINGER LAKES REGION,Other State Agency,NY,2022,0,9,2,11,1,1,2,10,3,13,
LA0570400,ERATH PD,ERATH PD,City,LA,2022,2002,7,0,7,1,4,5,8,4,12,5.99
MS0450400,MADISON PD MADISON,MADISON PD MADISON,City,MS,2022,27674,59,6,65,7,17,24,66,23,89,3.22
KSKHP0200,,,State Police,KS,2022,0,29,1,30,0,2,2,29,3,32,
OR0341100,KING CITY,KING CITY,City,OR,2022,5043,5,0,5,1,1,2,6,1,7,1.39
NC0250700,RIVER BEND PD NEW BERN,RIVER BEND PD NEW BERN,City,NC,2022,2868,6,0,6,0,0,0,6,0,6,2.09
AR0100500,,,City,AR,2022,680,1,0,1,0,0,0,1,0,1,1.47
FL0290600,TAMPA INTERNATIONAL AIRPORT POLICE TAMPA,TAMPA INTERNATIONAL AIRPORT POLICE TAMPA,Other,FL,2022,0,62,47,109,15,14,29,77,61,138,
IL0990200,BOLINGBROOK PD,BOLINGBROOK PD,City,IL,2022,73364,108,7,115,12,17,29,120,24,144,1.96
AL0450000,SO HAYNEVILLE,SO HAYNEVILLE,County,AL,2022,7016,15,6,21,3,10,13,18,16,34,4.85
LA0300000,LA SALLE CO SO JENA,LA SALLE CO SO JENA,County,LA,2022,9677,22,15,37,3,25,28,25,40,65,6.72
NC0929000,NC DIV OF ALCOHOL LAW ENFORCEMENT RALEIGH,NC DIV OF ALCOHOL LAW ENFORCEMENT RALEIGH,Other State Agency,NC,2022,0,83,1,84,13,14,27,96,15,111,
CA0190200,ARCADIA PD,ARCADIA PD,City,CA,2022,54202,58,2,60,4,23,27,62,25,87,1.61
KY0451000,CITY OF BELLEFONTE POLICE DEPARTMENT FLATWOODS,CITY OF BELLEFONTE POLICE DEPARTMENT FLATWOODS,City,KY,2022,902,5,0,5,0,0,0,5,0,5,5.54
AL0640200,CARBON HILL PD,CARBON HILL PD,City,AL,2022,1714,4,0,4,0,5,5,4,5,9,5.25
MT0030000,BLAINE CO SO CHINOOK,BLAINE CO SO CHINOOK,County,MT,2022,5785,7,2,9,1,4,5,8,6,14,2.42
NC0110700,UNC-ASHEVILLE POLICE ASHVILLE,UNC-ASHEVILLE POLICE ASHVILLE,University or College,NC,2022,0,12,1,13,1,3,4,13,4,17,
FL0050700,MELBOURNE PD,MELBOURNE PD,City,FL,2022,85761,120,14,134,27,47,74,147,61,208,2.43
IA0900100,OTTUMWA PD,OTTUMWA PD,City,IA,2022,25249,34,3,37,5,7,12,39,10,49,1.94
AR0430200,CABOT PD,CABOT PD,City,AR,2022,26750,46,1,47,4,10,14,50,11,61,2.28
IL0992200,MOKENA PD,MOKENA PD,City,IL,2022,19829,28,0,28,5,2,7,33,2,35,1.77
OH0431400,WILLOWICK,WILLOWICK,City,OH,2022,14103,21,1,22,1,8,9,22,9,31,2.20
GA0650200,WHIGHAM PD,WHIGHAM PD,City,GA,2022,420,2,0,2,0,1,1,2,1,3,7.14
KY0230000,CASEY CO SO LIBERTY,CASEY CO SO LIBERTY,County,KY,2022,13864,6,5,11,1,2,3,7,7,14,1.01
WVWSP2700,STATE POLICE GAULEY BRIDGE,STATE POLICE GAULEY BRIDGE,State Police,WV,2022,0,3,0,3,0,1,1,3,1,4,
PA0021D00,WEST DEER TWP PD RUSSELLTON,WEST DEER TWP PD RUSSELLTON,City,PA,2022,12214,13,0,13,1,1,2,14,1,15,1.23
TN0140100,CELINA PD,CELINA PD,City,TN,2022,1382,3,1,4,0,1,1,3,2,5,3.62
IL0453300,ELGIN COMM COLLEGE PUBLIC SAFETY,ELGIN COMM COLLEGE PUBLIC SAFETY,University or College,IL,2022,0,16,1,17,0,1,1,16,2,18,
WV0030600,SYLVESTER POLICE DEPARTMENT SYLVESTER,SYLVESTER POLICE DEPARTMENT SYLVESTER,City,WV,2022,159,1,0,1,0,0,0,1,0,1,6.29
MI2612600,GLADWIN CO SO GLADWIN,GLADWIN CO SO GLADWIN,County,MI,2022,21351,13,21,34,1,10,11,14,31,45,2.11
VT0140000,WINDSOR COUNTY SHERIFF'S OFFICE,WINDSOR COUNTY SHERIFF'S OFFICE,County,VT,2022,0,14,0,14,2,3,5,16,3,19,
WV0430200,PENNSBORO PD,PENNSBORO PD,City,WV,2022,1034,1,0,1,0,0,0,1,0,1,0.97
FL0310400,DPS INDIAN RIVER SHORES,DPS INDIAN RIVER SHORES,City,FL,2022,4421,17,2,19,1,3,4,18,5,23,5.20
MA0072300,WILBRAHAM PD,WILBRAHAM PD,City,MA,2022,14600,27,0,27,0,1,1,27,1,28,1.92
OH0700300,PLYMOUTH,PLYMOUTH,City,OH,2022,1703,3,0,3,2,0,2,5,0,5,2.94
IN0480300,ELWOOD PD,ELWOOD PD,City,IN,2022,8397,19,1,20,0,0,0,19,1,20,2.38
OH0851500,WEST SALEM,WEST SALEM,City,OH,2022,1436,1,0,1,0,0,0,1,0,1,0.70
PA0050100,BEDFORD PD,BEDFORD PD,City,PA,2022,2835,4,0,4,0,0,0,4,0,4,1.41
TN0820800,NE ST TECH COMM COLLEGE CAMPUS POLICE DEPT,NE ST TECH COMM COLLEGE CAMPUS POLICE DEPT,University or College,TN,2022,0,6,0,6,2,0,2,8,0,8,
OR0010100,BAKER CITY,BAKER CITY,City,OR,2022,10259,13,1,14,2,2,4,15,3,18,1.75
NY0456800,WATERFORD TOWN PD WATERFORD,WATERFORD TOWN PD WATERFORD,City,NY,2022,8228,9,1,10,0,0,0,9,1,10,1.22
AZ0140500,YUMA PD,YUMA PD,City,AZ,2022,98164,130,25,155,17,74,91,147,99,246,2.51
AZ0021100,TOMBSTONE MARSHAL'S OFFICE,TOMBSTONE MARSHAL'S OFFICE,City,AZ,2022,1308,4,0,4,3,2,5,7,2,9,6.88
WV0080200,LAW ENF DIV DEPT NATRL RESOURCES CLAY,LAW ENF DIV DEPT NATRL RESOURCES CLAY,Other State Agency,WV,2022,0,1,0,1,0,0,0,1,0,1,
ME0101100,NEWPORT PD,NEWPORT PD,City,ME,2022,3120,4,0,4,0,0,0,4,0,4,1.28
SD0490300,BRANDON PD,BRANDON PD,City,SD,2022,10914,12,0,12,1,1,2,13,1,14,1.28
TX2300300,ORE CITY PD,ORE CITY PD,City,TX,2022,1170,4,0,4,0,0,0,4,0,4,3.42
WI0120100,PRAIRIE DU CHIEN,PRAIRIE DU CHIEN,City,WI,2022,5461,10,0,10,3,0,3,13,0,13,2.38
SC0030000,ALLENDALE CO SO ALLENDALE,ALLENDALE CO SO ALLENDALE,County,SC,2022,3692,8,0,8,2,2,4,10,2,12,3.25
WI0480400,,,City,WI,2022,1403,0,0,0,1,0,1,1,0,1,0.71
NY0502200,BATH VILLAGE PD BATH,BATH VILLAGE PD BATH,City,NY,2022,5493,10,0,10,1,1,2,11,1,12,2.18
GA0370000,COOK CO SO ADEL,COOK CO SO ADEL,County,GA,2022,8692,26,12,38,5,9,14,31,21,52,5.98
WVWSP9000,WV STATE POLICE CRIMINAL INVESTIGATIONS,WV STATE POLICE CRIMINAL INVESTIGATIONS,State Police,WV,2022,0,4,0,4,0,0,0,4,0,4,
CA0370500,EL CAJON PD,EL CAJON PD,City,CA,2022,104693,110,12,122,14,42,56,124,54,178,1.70
OK0560000,OKMULGEE,OKMULGEE,County,OK,2022,16816,15,1,16,0,1,1,15,2,17,1.01
MS0300000,JACKSON CO SO PASCAGOULA,JACKSON CO SO PASCAGOULA,County,MS,2022,73470,85,33,118,12,53,65,97,86,183,2.49
WV0500400,FORT GAY PD,FORT GAY PD,City,WV,2022,668,3,0,3,0,0,0,3,0,3,4.49
IL0610400,SALEM PD,SALEM PD,City,IL,2022,7136,15,5,20,3,3,6,18,8,26,3.64
MI0610600,ARENAC CO SO STANDISH,ARENAC CO SO STANDISH,County,MI,2022,14012,11,8,19,2,3,5,13,11,24,1.71
NY0590600,PORT CHESTER VILLAGE PD PORT CHESTER,PORT CHESTER VILLAGE PD PORT CHESTER,City,NY,2022,30804,57,0,57,3,1,4,60,1,61,1.98
NY0595900,NORTH CASTLE TOWN PD ARMONK,NORTH CASTLE TOWN PD ARMONK,City,NY,2022,12124,30,1,31,2,1,3,32,2,34,2.80
PA0410800,HUGHESVILLE PD,HUGHESVILLE PD,City,PA,2022,2130,3,0,3,0,0,0,3,0,3,1.41
WI0280400,LAKE MILLS PD,LAKE MILLS PD,City,WI,2022,6662,9,0,9,11,2,13,20,2,22,3.30
NM0330100,,,City,NM,2022,9199,12,0,12,4,2,6,16,2,18,1.96
TX0430000,COLLIN COUNTY SHERIFFS OFFICE,COLLIN COUNTY SHERIFFS OFFICE,County,TX,2022,85826,120,239,359,19,151,170,139,390,529,6.16
OH0521300,MONTVILLE TOWNSHIP,MONTVILLE TOWNSHIP,City,OH,2022,13304,15,0,15,1,0,1,16,0,16,1.20
FL0160100,ATLANTIC BEACH PD,ATLANTIC BEACH PD,City,FL,2022,13189,23,4,27,3,9,12,26,13,39,2.96
GA0030100,ALMA PD,ALMA PD,City,GA,2022,3370,12,0,12,4,2,6,16,2,18,5.34
TX0611300,LITTLE ELM POLICE DEPARTMENT,LITTLE ELM POLICE DEPARTMENT,City,TX,2022,55340,68,2,70,15,6,21,83,8,91,1.64
VA1210000,RADFORD PD,RADFORD PD,City,VA,2022,16978,33,2,35,5,7,12,38,9,47,2.77
AZ0020300,BISBEE PD,BISBEE PD,City,AZ,2022,4909,7,2,9,1,2,3,8,4,12,2.44
SC0250600,YEMASSEE TOWN PD YEMASSEE,YEMASSEE TOWN PD YEMASSEE,City,SC,2022,1149,8,0,8,2,1,3,10,1,11,9.57
TX1081100,PHARR PD,PHARR PD,City,TX,2022,79558,130,11,141,10,19,29,140,30,170,2.14
CA0300900,GARDEN GROVE PD,GARDEN GROVE PD,City,CA,2022,169157,162,8,170,9,57,66,171,65,236,1.40
OK0740000,WASHINGTON,WASHINGTON,County,OK,2022,11656,25,23,48,4,9,13,29,32,61,5.23
MN0660200,NORTHFIELD PD,NORTHFIELD PD,City,MN,2022,20746,21,0,21,2,6,8,23,6,29,1.40
NB0360000,GARFIELD CO SO BURWELL,GARFIELD CO SO BURWELL,County,NB,2022,767,2,0,2,0,0,0,2,0,2,2.61
TN0300300,THIRD JUDICIAL DIST DRUG TASK FORCE GREENEVILLE,THIRD JUDICIAL DIST DRUG TASK FORCE GREENEVILLE,Other,TN,2022,0,4,0,4,0,0,0,4,0,4,
ID0100200,IDAHO FALLS PD,IDAHO FALLS PD,City,ID,2022,68162,83,5,88,7,36,43,90,41,131,1.92
OK0680000,SEQUOYAH,SEQUOYAH,County,OK,2022,21597,25,8,33,1,8,9,26,16,42,1.94
WV0300400,DELBARTON PD,DELBARTON PD,City,WV,2022,406,2,0,2,0,0,0,2,0,2,4.93
TX2202200,RICHLAND HILLS PD FORT WORTH,RICHLAND HILLS PD FORT WORTH,City,TX,2022,8385,15,0,15,5,4,9,20,4,24,2.86
WADI06100,KALISPEL TRIBAL POLICE DEPARTMENT USK,KALISPEL TRIBAL POLICE DEPARTMENT USK,Tribal,WA,2022,0,20,1,21,3,4,7,23,5,28,
MA0143300,NORTHBORO PD,NORTHBORO PD,City,MA,2022,15699,20,2,22,1,5,6,21,7,28,1.78
FL0590600,WINTER SPRINGS PD,WINTER SPRINGS PD,City,FL,2022,38160,43,1,44,10,6,16,53,7,60,1.57
FL0360100,FORT MYERS PD,FORT MYERS PD,City,FL,2022,98538,185,26,211,47,63,110,232,89,321,3.26
NC0680100,CHAPEL HILL PD,CHAPEL HILL PD,City,NC,2022,60984,76,9,85,10,16,26,86,25,111,1.82
AR0041100,SULPHUR SPRINGS POLICE DEPARTMENT,SULPHUR SPRINGS POLICE DEPARTMENT,City,AR,2022,471,2,0,2,1,0,1,3,0,3,6.37
IA0820600,ELDRIDGE PD,ELDRIDGE PD,City,IA,2022,6770,10,0,10,0,1,1,10,1,11,1.62
CA0340400,SACRAMENTO PD,SACRAMENTO PD,City,CA,2022,526671,559,82,641,121,211,332,680,293,973,1.85
SD0090000,BUTTE CO SO BELLE FOURCHE,BUTTE CO SO BELLE FOURCHE,County,SD,2022,4938,6,1,7,0,6,6,6,7,13,2.63
CA0510000,SUTTER CO SO YUBA CITY,SUTTER CO SO YUBA CITY,County,CA,2022,29636,71,0,71,25,25,50,96,25,121,4.08
MA0121300,LAKEVILLE PD,LAKEVILLE PD,City,MA,2022,12511,17,4,21,2,1,3,19,5,24,1.92
NH0080200,ATKINSON,ATKINSON,City,NH,2022,7343,8,0,8,0,1,1,8,1,9,1.23
TX2360100,HUNTSVILLE PD,HUNTSVILLE PD,City,TX,2022,46780,54,5,59,3,9,12,57,14,71,1.52
MD0200200,PRINCESS ANNE PD,PRINCESS ANNE PD,City,MD,2022,3438,11,1,12,1,2,3,12,3,15,4.36
IA0100100,INDEPENDENCE PD,INDEPENDENCE PD,City,IA,2022,6236,10,0,10,1,1,2,11,1,12,1.92
WV0260200,CAMERON PD,CAMERON PD,City,WV,2022,823,2,0,2,0,0,0,2,0,2,2.43
OH0260500,WAUSEON,WAUSEON,City,OH,2022,7492,12,1,13,1,4,5,13,5,18,2.40
MI7956600,MAYVILLE PD,MAYVILLE PD,City,MI,2022,909,1,1,2,0,0,0,1,1,2,2.20
TX2450000,WILLACY COUNTY SHERIFFS OFFICE,WILLACY COUNTY SHERIFFS OFFICE,County,TX,2022,7607,17,11,28,2,3,5,19,14,33,4.34
AZ0070100,AVONDALE PD,AVONDALE PD,City,AZ,2022,91467,129,16,145,23,52,75,152,68,220,2.41
MO0150100,CAMDENTON,CAMDENTON,City,MO,2022,4074,12,0,12,2,2,4,14,2,16,3.93
OR015SP00,SP: JACKSON COUNTY,SP: JACKSON COUNTY,State Police,OR,2022,0,43,20,63,3,37,40,46,57,103,
OK0451600,VALLIANT,VALLIANT,City,OK,2022,811,4,0,4,0,0,0,4,0,4,4.93
CA0340100,FOLSOM PD,FOLSOM PD,City,CA,2022,83011,66,4,70,7,29,36,73,33,106,1.28
NJ0040900,CHESILHURST POLICE DEPT,CHESILHURST POLICE DEPT,City,NJ,2022,1543,10,0,10,0,1,1,10,1,11,7.13
OH0182600,LAKEWOOD,LAKEWOOD,City,OH,2022,49490,83,5,88,10,16,26,93,21,114,2.30
MN0530200,,,City,MN,2022,1189,1,0,1,1,0,1,2,0,2,1.68
NH0011000,GILFORD PD,GILFORD PD,City,NH,2022,7880,18,0,18,1,6,7,19,6,25,3.17
LA0420000,RICHLAND CO SO RAYVILLE,RICHLAND CO SO RAYVILLE,County,LA,2022,16352,86,7,93,35,18,53,121,25,146,8.93
DE0012200,,,Other State Agency,DE,2022,0,21,0,21,2,6,8,23,6,29,
NC0100800,OCEAN ISLE BEACH PD,OCEAN ISLE BEACH PD,City,NC,2022,944,9,0,9,2,1,3,11,1,12,12.71
IL1010000,WINNEBAGO CO SO ROCKFORD,WINNEBAGO CO SO ROCKFORD,County,IL,2022,55713,92,161,253,14,65,79,106,226,332,5.96
ND0280000,MCLEAN CO SO WASHBURN,MCLEAN CO SO WASHBURN,County,ND,2022,8510,25,8,33,2,8,10,27,16,43,5.05
IA0810000,SAC CO SO SAC CITY,SAC CO SO SAC CITY,County,IA,2022,7689,9,0,9,1,12,13,10,12,22,2.86
AL0670100,DOUBLE SPRINGS PD,DOUBLE SPRINGS PD,City,AL,2022,1083,8,0,8,0,1,1,8,1,9,8.31
CADIT0500,LOS COYOTES TRIBAL,LOS COYOTES TRIBAL,Tribal,CA,2022,0,1,0,1,0,0,0,1,0,1,
MO0620100,FREDERICKTOWN,FREDERICKTOWN,City,MO,2022,4353,12,0,12,0,1,1,12,1,13,2.99
IL0999200,LEWIS UNIVERSITY,LEWIS UNIVERSITY,University or College,IL,2022,0,9,4,13,1,5,6,10,9,19,
PA0070200,HOLLIDAYSBURG PD,HOLLIDAYSBURG PD,City,PA,2022,5522,8,0,8,0,2,2,8,2,10,1.81
DE0013100,WYOMING POLICE DEPARTMENT,WYOMING POLICE DEPARTMENT,City,DE,2022,1906,3,0,3,0,0,0,3,0,3,1.57
PA0027900,MOUNT OLIVER PD,MOUNT OLIVER PD,City,PA,2022,3299,8,0,8,1,0,1,9,0,9,2.73
NY0290500,GARDEN CITY VILLAGE PD GARDEN CITY,GARDEN CITY VILLAGE PD GARDEN CITY,City,NY,2022,22929,49,8,57,2,6,8,51,14,65,2.83
CO0490100,ASPEN,ASPEN,City,CO,2022,6910,21,5,26,4,6,10,25,11,36,5.21
TX1051200,BUDA,BUDA,City,TX,2022,16000,20,1,21,2,3,5,22,4,26,1.63
WV0251400,FAIRMONT STATE UNIVERSIT,FAIRMONT STATE UNIVERSIT,University or College,WV,2022,0,8,3,11,0,1,1,8,4,12,
FL0540400,WELAKA PD,WELAKA PD,City,FL,2022,730,2,0,2,0,0,0,2,0,2,2.74
KY0810100,MAYSVILLE PD,MAYSVILLE PD,City,KY,2022,8672,22,5,27,2,4,6,24,9,33,3.81
OH0760600,HARTVILLE,HARTVILLE,City,OH,2022,3331,7,0,7,0,0,0,7,0,7,2.10
FL0170300,FLORIDA DLE REGIONAL OPERATIONS CENTER,FLORIDA DLE REGIONAL OPERATIONS CENTER,Other State Agency,FL,2022,0,21,13,34,9,44,53,30,57,87,
WI0100400,COLBY ABBOTSFORD PD ABBOTSFORD,COLBY ABBOTSFORD PD ABBOTSFORD,City,WI,2022,4312,8,0,8,0,1,1,8,1,9,2.09
MS0070300,,,City,MS,2022,938,1,0,1,0,0,0,1,0,1,1.07
